id,score
byc,5
chrysler,3
raemian,5
whirlpool,2
hanssem,5
seven-eleven,5
lotte-department-store,5
under-armour,4
rare-beauty,2
alphabet,3
handsome,2
e-pyeonhan-sesang,5
kerasys,4
mammut,2
burger-king,5
chloe,4
byredo,2
nikon,5
vaseline,5
korea-investment-securities,4
clarins,4
costa-coffee,2
xai,2
audio-technica,3
woori-bank,5
guerlain,4
snow-peak,4
nbcuniversal,2
carrefour,1
acer,4
nepa,4
meta,5
staedtler,3
canada-goose,5
kt,5
tumi,4
hoshino-resorts,2
hershey,5
sephora,4
kiehls,5
kate-spade,4
xpeng,1
socar,5
peach-aviation,2
le-labo,2
toss-bank,5
keurig-dr-pepper,1
kraft-heinz,1
glad-hotels,3
ryo,4
harman,2
longchamp,4
on-running,4
jo-malone,4
haribo,5
lotte-cinema,5
six-senses,2
hwalmyungsu,5
matin-kim,4
virgin-voyages,1
crunchyroll,3
kepco,5
seoul-land,4
cj-enm,5
ysl-beaute,4
ping,3
thermos,4
colgate-palmolive,3
gm-korea,5
the-sharp,5
sennheiser,3
valve,3
lactalis,1
tiffany,5
smcp,1
yeogi-eottae,5
smirnoff,4
coffee-bean,5
jestina,4
pocky,5
bape,4
k2-korea,5
sony,5
puma,5
ipad,5
bandai-namco,3
baidu,2
celine,5
kayak,2
sprite,5
mitsubishi-pencil,3
the-body-shop,5
pantene,5
steam,5
waldorf-astoria,2
home-depot,2
hsbc,3
air-france,4
byd,4
maggi,3
swatch,4
hera,5
young-toys,2
melon,5
dongwon-fnb,5
heinz,5
vanguard,3
pizza-hut,5
fendi,5
allianz,3
lee-kum-kee,2
general-motors,5
naver-webtoon,5
wilson,4
rockstar-games,4
fiat,3
black-yak,5
nongshim,5
mnet,5
hankook-tire,5
general-mills,1
ami-paris,4
lays,4
abbott,2
galaxy,5
innisfree,5
jpmorgan-chase,3
corelle,4
tripadvisor,4
helinox,4
alo-yoga,3
hertz,2
shinhan-bank,5
emart-traders,4
compose-coffee,5
iloom,3
farfetch,2
qantas,2
seoul-milk,5
lemaire,2
lush,5
ford,5
spotify,5
fromsoftware,3
oneplus,2
unilever,2
chungjungone,5
miwon,5
axa,3
ubs,2
torriden,4
supercell,3
ritz-carlton,4
malbon-golf,3
toss,5
mark-and-lona,2
issey-miyake,3
nonfiction,3
wise,2
paradise-hotels,4
hybe,5
terra,5
mega-coffee,5
royal-caribbean,3
wera,1
delvaux,1
pagani,2
club-med,2
razer,4
hay,2
bithumb,5
mounjaro,4
sono-hotels,4
chevron,2
dreamworks-animation,5
danone,4
zegna-group,2
vespa,4
taco-bell,4
dyson,5
harim,5
carin,3
hotels-com,4
nissin,4
la-prairie,2
goodai-global,1
mediheal,5
shueisha,2
revolut,2
stonehenge,2
hp,5
ridi,5
dr-martens,5
glossier,2
cos,4
moleskine,4
casio,5
papa-johns,4
bridgestone,4
purina,4
buldak,5
beats,5
big-hit-music,4
spc-samlip,5
nestle,5
miu-miu,4
kbs,5
dell,5
google-pixel,3
andersson-bell,3
framework,1
