id,score
gentle-monster,5
honda,4
don-quijote,4
stussy,4
dongsuh-foods,5
tesco,2
smithfield,1
peninsula-hotels,2
topten,3
vf-corp,0
xi,5
hyundai-livart,3
le-creuset,4
nintendo,5
ntt,1
centrum,4
auralee,2
booking-holdings,1
kia,5
air-busan,4
paris-baguette,5
ace-hotel,1
fujifilm-x,3
kb-financial-group,5
yuhan-kimberly,4
expedia,4
la-mer,3
royal-canin,4
jeep,4
infiniti,3
kenvue,0
msc-cruises,1
theory,3
mondelez,1
mars,2
josun-hotels,4
muji,5
dettol,3
hana-financial-group,5
hollys,5
evian,5
pubg,5
beanpole,4
southwest-airlines,2
geely-holding,1
carlsberg,3
walmart,5
nissan,4
disney,5
nars,4
the-ordinary,4
barrel,3
samsonite,5
durex,4
dolce-gabbana,5
oppo,3
labubu,5
panasonic,4
bonjuk,5
swarovski,5
tvn,5
ferrero,4
heytea,2
otb-group,0
adobe,5
hm-group,4
krispy-kreme,5
singapore-airlines,4
iicombined,1
kurly,5
mercedes-maybach,3
paramount,3
jeju-air,5
mixue,4
uniqlo,5
tory-burch,4
subaru,3
sulbing,5
etihad-airways,2
naver,5
paul-bassett,4
dongwon-tuna,5
levis,5
chamisul,5
eva-air,3
loro-piana,3
max-mara,3
sensodyne,4
warner-bros,5
musinsa-standard,5
laneige,5
rosewood,1
caribbean-bay,5
louis-vuitton,5
boehringer-ingelheim,1
blue-bottle,3
hoka,4
thom-browne,4
breguet,1
lf,3
haleon,0
bank-of-america,3
decathlon,4
universal-music-group,2
kakao-friends,5
minumsa,4
ozempic,4
cu,5
round-lab,4
xexymix,4
diesel,4
tous-les-jours,5
lvmh,3
hello-kitty,5
asus,4
biontech,3
cathay-pacific,4
hanwha-qcells,2
budweiser,4
herbalife,3
neutrogena,5
soop,4
sk-energy,4
kappa,3
bottega-veneta,4
fanta,5
xiaomi,4
suntory,3
lucid,1
yamato-transport,1
hugo-boss,4
ebay,4
softbank-corp,3
skyscanner,4
la-roche-posay,4
holiday-inn,4
msi,4
coca-cola,5
youtube,5
yuhan,4
8seconds,5
nh-nonghyup-bank,5
hetbahn,5
goobne,5
ping-an,0
legoland,5
cetaphil,4
yokohama-tire,2
peugeot,3
band-aid,5
ybtour,4
lotte-hotel,5
calvin-klein,5
british-airways,4
turkish-airlines,4
keychron,2
fred,1
tupperware,4
dunkin,5
sacai,3
whole-foods,2
pomellato,1
rivian,2
kuho,2
sbs,5
asiana-airlines,5
ryobi,3
chick-fil-a,3
hilton,5
telegram,4
rado,2
four-seasons,4
eastar-jet,4
chum-churum,5
titleist,4
jyp-entertainment,5
mac-cosmetics,5
tving,5
park-hyatt,3
balmain,3
corona,5
amazon,5
warby-parker,1
johnson-johnson,5
linkedin,4
fear-of-god,3
tommy-hilfiger,5
hd-hyundai-oilbank,4
birkenstock,4
kakao-page,4
alibaba,5
tag-heuer,4
jal,4
ikea,5
wells-fargo,2
naver-pay,5
ab-inbev,0
hasselblad,1
lotus,3
shinsung-tongsang,2
live-nation,1
klook,4
samsung-cnt-fashion,2
sega,4
low-classic,2
land-rover,4
sanofi,1
diageo,1
fidelity,1
fenty-beauty,4
lotte-world,5
