id,score
richemont,0
ibk,5
sonos,2
qatar-airways,4
insta360,2
aston-martin,4
loreal,5
bershka,3
chong-kun-dang,4
lexus,5
maison-francis-kurkdjian,1
wechat,3
theborn-korea,5
apm-monaco,2
glico,2
zigzag,4
orion,5
jaguar,4
goldendew,2
harrods,3
gap-inc,3
bacchus,5
kikkoman,3
ntt-docomo,2
prospecs,4
haagen-dazs,5
prugio,4
nike,5
tesla,5
descente,4
banyan-tree,2
mclaren,4
pringles,5
megabox,5
estee-lauder,4
kyochon,5
discovery-expedition,5
bibigo,4
fairmont,2
pixar,5
amgen,1
airpods,5
seiko,4
audemars-piguet,2
the-face-shop,5
chaumet,2
bose,4
delta-air-lines,4
richard-mille,3
munhakdongne,3
kith,3
hanwha-resorts,4
motorola,4
mcm,4
columbia,5
rimac,1
monzo,0
aliexpress,5
pampers,4
christian-louboutin,4
giant,2
polene,2
air-india,1
raspberry-pi,2
unionpay,2
kinder,4
chow-tai-fook,1
claude,2
notion,4
allsaints,2
yonex,4
mbc,5
oreo,5
westin,3
exxonmobil,2
ihg,1
arcteryx,4
aman,1
epic-games,3
neowiz,2
kkday,2
medicube,4
asics,4
dominos,5
fast-retailing,1
beiersdorf,0
miele,2
watcha,4
system,1
a-lange-sohne,0
kakao-games,4
yakult,5
kream,4
mastercard,5
chevrolet,4
liquid-death,1
zara,5
toho,1
openai,5
bnp-paribas,1
mufg,1
boucheron,1
kadokawa,1
jack-wolfskin,3
hanatour,4
daniel-wellington,4
montblanc,4
ubisoft,3
celsius,2
citizen,3
daesang,4
verygoodtour,2
maserati,4
visa,5
vrbo,1
fujifilm,4
li-auto,1
emirates,4
signiel,4
shin-ramyun,5
samsung-securities,4
genie-music,4
hitejinro,5
kimberly-clark,1
american-airlines,3
red-bull,5
deckers,0
mandarin-oriental,2
national-geographic-apparel,5
a24,2
vans,4
gillette,4
nio,1
volkswagen-group,4
lego,5
kb-kookmin-card,5
w-hotels,2
dr-pepper,3
hennessy,4
stone-island,4
andar,4
amorepacific,5
coupang,5
ssg-com,4
namyang-dairy,5
alexander-mcqueen,3
citroen,3
kakao-entertainment,3
jd-com,1
binggrae,5
tom-ford-beauty,2
dongwha-pharm,4
monami,5
churchs,1
shinsegae-department-store,5
vacheron-constantin,1
cartier,5
our-legacy,1
speedo,4
kakaopay,5
lindt,4
coinbase,2
kleenex,5
gs-caltex,5
chopard,1
taj-hotels,1
jollibee,2
chewy,0
tefal,4
toyoko-inn,3
maje,2
bacardi,3
shinsegae-international,2
etsy,2
omega,5
prada-group,4
novartis,1
gmarket,5
cosrx,4
salomon,4
umbro,3
cadbury,3
shilla-stay,4
verizon,2
hasbro,2
kg-mobility,4
wacom,2
juun-j,2
grand-seiko,2
citi,4
tokyo-disney-resort,5
gong-cha,5
stanley-black-decker,1
tencent,3
gatorade,5
toblerone,4
mms,5
mercedes-benz-group,5
banana-republic,3
ssense,2
wendys,3
bbc,4
barclays,2
cj-cheiljedang,5
bbq,5
acushnet,1
absolut,4
perplexity,2
twosome-place,5
jacquemus,3
skims,3
