id,name_ko,name_en,category
byc,BYC,BYC,언더웨어·라운지
chrysler,크라이슬러,Chrysler,완성차
raemian,래미안,Raemian,건설
whirlpool,월풀,Whirlpool,스마트폰·가전
hanssem,한샘,Hanssem,가구·인테리어
seven-eleven,세븐일레븐,7-Eleven,편의점
lotte-department-store,롯데백화점,Lotte Department Store,백화점
under-armour,언더아머,Under Armour,스포츠웨어
rare-beauty,레어 뷰티,Rare Beauty,메이크업
alphabet,알파벳,Alphabet,검색·포털
handsome,한섬,Handsome,컨템포러리
e-pyeonhan-sesang,e편한세상,e-Pyeonhan Sesang,건설
kerasys,케라시스,Kerasys,헤어·바디
mammut,마무트,Mammut,아웃도어
burger-king,버거킹,Burger King,패스트푸드
chloe,끌로에,Chloé,럭셔리하우스
byredo,바이레도,Byredo,향수·니치향수
nikon,니콘,Nikon,음향·카메라
vaseline,바세린,Vaseline,헤어·바디
korea-investment-securities,한국투자증권,Korea Investment & Securities,증권·투자
clarins,클라랑스,Clarins,럭셔리뷰티
costa-coffee,코스타커피,Costa Coffee,카페체인
xai,xAI,xAI,AI
audio-technica,오디오테크니카,Audio-Technica,음향·카메라
woori-bank,우리은행,Woori Bank,은행
guerlain,겔랑,Guerlain,럭셔리뷰티
snow-peak,스노우피크,Snow Peak,아웃도어
nbcuniversal,NBC유니버설,NBCUniversal,영화·애니메이션
carrefour,까르푸,Carrefour,대형마트·창고형
acer,에이서,Acer,PC·주변기기
nepa,네파,NEPA,아웃도어
meta,메타,Meta Platforms,SNS·메신저
staedtler,스테들러,Staedtler,문구·필기구
canada-goose,캐나다구스,Canada Goose,아웃도어
kt,KT,KT,통신사
tumi,투미,Tumi,가방·잡화
hoshino-resorts,호시노 리조트,Hoshino Resorts,호텔·리조트
hershey,허쉬,Hershey's,과자·제과
sephora,세포라,Sephora,뷰티편집숍
kiehls,키엘,Kiehl's,스킨케어
kate-spade,케이트 스페이드,Kate Spade New York,가방·잡화
xpeng,샤오펑,XPeng,전기차
socar,쏘카,SOCAR,모빌리티서비스
peach-aviation,피치항공,Peach Aviation,항공사
le-labo,르 라보,Le Labo,향수·니치향수
toss-bank,토스뱅크,Toss Bank,은행
keurig-dr-pepper,큐리그닥터페퍼,Keurig Dr Pepper,음료·탄산
kraft-heinz,크래프트하인즈,Kraft Heinz,조미료·소스
glad-hotels,글래드호텔,GLAD Hotels,호텔·리조트
ryo,려,Ryo,헤어·바디
harman,하만,Harman International,음향·카메라
longchamp,롱샴,Longchamp,가방·잡화
on-running,온,On,스포츠웨어
jo-malone,조 말론 런던,Jo Malone London,향수·니치향수
haribo,하리보,Haribo,과자·제과
lotte-cinema,롯데시네마,Lotte Cinema,영화·애니메이션
six-senses,식스센스,Six Senses,호텔·리조트
hwalmyungsu,까스활명수,Gas Hwalmyungsu,일반의약품·소비자헬스
matin-kim,마뗑킴,Matin Kim,디자이너·스트리트
virgin-voyages,버진 보야지스,Virgin Voyages,크루즈·테마파크
