id,name_ko,name_en,category
richemont,리치몬트,Compagnie Financière Richemont,주얼리
ibk,IBK기업은행,Industrial Bank of Korea,은행
sonos,소노스,Sonos,음향·카메라
qatar-airways,카타르항공,Qatar Airways,항공사
insta360,인스타360,Insta360,음향·카메라
aston-martin,애스턴마틴,Aston Martin,럭셔리·슈퍼카
loreal,로레알,L'Oréal,스킨케어
bershka,버쉬카,Bershka,SPA·캐주얼
chong-kun-dang,종근당,Chong Kun Dang,제약
lexus,렉서스,Lexus,완성차
maison-francis-kurkdjian,메종 프란시스 커정,Maison Francis Kurkdjian,향수·니치향수
wechat,위챗,WeChat,SNS·메신저
theborn-korea,더본코리아,The Born Korea,레스토랑체인
apm-monaco,에이피엠 모나코,APM Monaco,주얼리
glico,글리코,Ezaki Glico,과자·제과
zigzag,지그재그,Zigzag,명품·패션플랫폼
orion,오리온,Orion,과자·제과
jaguar,재규어,Jaguar,완성차
goldendew,골든듀,Goldendew,주얼리
harrods,해러즈,Harrods,백화점
gap-inc,갭 주식회사,Gap Inc.,SPA·캐주얼
bacchus,박카스,Bacchus,일반의약품·소비자헬스
kikkoman,기꼬만,Kikkoman,조미료·소스
ntt-docomo,NTT도코모,NTT Docomo,통신사
prospecs,프로스펙스,Prospecs,스포츠웨어
haagen-dazs,하겐다즈,Häagen-Dazs,유제품
prugio,푸르지오,Prugio,건설
nike,나이키,Nike,스포츠웨어
tesla,테슬라,Tesla,전기차
descente,데상트,Descente,스포츠웨어
banyan-tree,반얀트리,Banyan Tree,호텔·리조트
mclaren,맥라렌,McLaren Automotive,럭셔리·슈퍼카
pringles,프링글스,Pringles,과자·제과
megabox,메가박스,Megabox,영화·애니메이션
estee-lauder,에스티 로더,The Estée Lauder Companies,럭셔리뷰티
kyochon,교촌치킨,Kyochon Chicken,배달·프랜차이즈
discovery-expedition,디스커버리 익스페디션,Discovery Expedition,아웃도어
bibigo,비비고,Bibigo,라면·가공식품
fairmont,페어몬트,Fairmont Hotels & Resorts,호텔·리조트
pixar,픽사,Pixar Animation Studios,영화·애니메이션
amgen,암젠,Amgen,바이오
airpods,에어팟,AirPods,음향·카메라
seiko,세이코,Seiko,대중시계
audemars-piguet,오데마 피게,Audemars Piguet,하이엔드시계
the-face-shop,더페이스샵,The Face Shop,스킨케어
chaumet,쇼메,Chaumet,주얼리
bose,보스,Bose,음향·카메라
delta-air-lines,델타항공,Delta Air Lines,항공사
richard-mille,리차드 밀,Richard Mille,하이엔드시계
munhakdongne,문학동네,Munhakdongne,출판
kith,키스,Kith,디자이너·스트리트
hanwha-resorts,한화리조트,Hanwha Hotels & Resorts,호텔·리조트
motorola,모토로라,Motorola,스마트폰·가전
mcm,MCM,MCM,가방·잡화
columbia,컬럼비아,Columbia Sportswear,아웃도어
rimac,리막,Rimac Automobili,전기차
monzo,몬조,Monzo,은행
aliexpress,알리익스프레스,AliExpress,이커머스
pampers,팸퍼스,Pampers,생활위생
christian-louboutin,크리스찬 루부탱,Christian Louboutin,신발
giant,자이언트,Giant Bicycles,스포츠용품
polene,폴렌느,Polène,가방·잡화
air-india,에어인디아,Air India,항공사
raspberry-pi,라즈베리 파이,Raspberry Pi,PC·주변기기
unionpay,유니온페이,UnionPay,카드·결제
kinder,킨더,Kinder,과자·제과
chow-tai-fook,주대복,Chow Tai Fook,주얼리
claude,클로드,Claude,AI
notion,노션,Notion,소프트웨어·클라우드
allsaints,올세인츠,AllSaints,컨템포러리
yonex,요넥스,Yonex,스포츠용품
mbc,MBC,Munhwa Broadcasting Corporation,방송·신문
oreo,오레오,Oreo,과자·제과
westin,웨스틴,Westin Hotels & Resorts,호텔·리조트
exxonmobil,엑슨모빌,ExxonMobil,석유·가스
ihg,IHG,IHG Hotels & Resorts,호텔·리조트
arcteryx,아크테릭스,Arc'teryx,아웃도어
aman,아만,Aman,호텔·리조트
epic-games,에픽게임즈,Epic Games,게임사
neowiz,네오위즈,NEOWIZ,게임사
kkday,케이케이데이,KKday,여행플랫폼
medicube,메디큐브,Medicube,스킨케어
asics,아식스,ASICS,스포츠웨어
dominos,도미노피자,Domino's,배달·프랜차이즈
fast-retailing,패스트리테일링,Fast Retailing,SPA·캐주얼
beiersdorf,바이어스도르프,Beiersdorf,스킨케어
miele,밀레,Miele,스마트폰·가전
watcha,왓챠,WATCHA,콘텐츠스트리밍
system,시스템,SYSTEM,컨템포러리
a-lange-sohne,랑에 운트 죄네,A. Lange & Söhne,하이엔드시계
kakao-games,카카오게임즈,Kakao Games,게임사
yakult,야쿠르트,Yakult,유제품
kream,크림,KREAM,명품·패션플랫폼
mastercard,마스터카드,Mastercard,카드·결제
chevrolet,쉐보레,Chevrolet,완성차
liquid-death,리퀴드데스,Liquid Death,음료·탄산
zara,자라,Zara,SPA·캐주얼
toho,도호,Toho,영화·애니메이션
openai,오픈AI,OpenAI,AI
bnp-paribas,BNP파리바,BNP Paribas,은행
mufg,미쓰비시UFJ파이낸셜그룹,Mitsubishi UFJ Financial Group,은행
boucheron,부쉐론,Boucheron,주얼리
kadokawa,가도카와,Kadokawa,출판
jack-wolfskin,잭울프스킨,Jack Wolfskin,아웃도어
hanatour,하나투어,Hanatour,여행플랫폼
daniel-wellington,다니엘 웰링턴,Daniel Wellington,대중시계
montblanc,몽블랑,Montblanc,가방·잡화
ubisoft,유비소프트,Ubisoft,게임사
celsius,셀시어스,Celsius,음료·탄산
citizen,시티즌,Citizen,대중시계
daesang,대상,Daesang,조미료·소스
verygoodtour,참좋은여행,Very Good Tour,여행플랫폼
maserati,마세라티,Maserati,럭셔리·슈퍼카
visa,비자,Visa,카드·결제
vrbo,브르보,Vrbo,여행플랫폼
fujifilm,후지필름,Fujifilm,음향·카메라
li-auto,리오토,Li Auto,전기차
emirates,에미레이트항공,Emirates,항공사
signiel,시그니엘,SIGNIEL,호텔·리조트
shin-ramyun,신라면,Shin Ramyun,라면·가공식품
samsung-securities,삼성증권,Samsung Securities,증권·투자
genie-music,지니뮤직,Genie Music,콘텐츠스트리밍
hitejinro,하이트진로,HiteJinro,주류
kimberly-clark,킴벌리클라크,Kimberly-Clark,생활위생
american-airlines,아메리칸항공,American Airlines,항공사
red-bull,레드불,Red Bull,음료·탄산
deckers,데커스 브랜즈,Deckers Brands,신발
mandarin-oriental,만다린 오리엔탈,Mandarin Oriental,호텔·리조트
national-geographic-apparel,내셔널지오그래픽,National Geographic Apparel,아웃도어
a24,A24,A24,영화·애니메이션
vans,반스,Vans,신발
gillette,질레트,Gillette,생활위생
nio,니오,NIO,전기차
volkswagen-group,폭스바겐그룹,Volkswagen Group,완성차
lego,레고,LEGO,완구·캐릭터
kb-kookmin-card,KB국민카드,KB Kookmin Card,카드·결제
w-hotels,W 호텔,W Hotels,호텔·리조트
dr-pepper,닥터페퍼,Dr Pepper,음료·탄산
