id,name_ko,name_en,category
gentle-monster,젠틀몬스터,Gentle Monster,안경·아이웨어
honda,혼다,Honda Motor,완성차
don-quijote,돈키호테,Don Quijote,대형마트·창고형
stussy,스투시,Stüssy,디자이너·스트리트
dongsuh-foods,동서식품,Dongsuh Foods,커피·차
tesco,테스코,Tesco,대형마트·창고형
smithfield,스미스필드,Smithfield Foods,육가공·축산
peninsula-hotels,페닌슐라,The Peninsula Hotels,호텔·리조트
topten,탑텐,TOPTEN10,SPA·캐주얼
vf-corp,VF 코퍼레이션,VF Corporation,아웃도어
xi,자이,Xi,건설
hyundai-livart,현대리바트,Hyundai Livart,가구·인테리어
le-creuset,르크루제,Le Creuset,주방·생활용품
nintendo,닌텐도,Nintendo,게임사
ntt,NTT,Nippon Telegraph and Telephone,통신사
centrum,센트룸,Centrum,일반의약품·소비자헬스
auralee,오라리,Auralee,디자이너·스트리트
booking-holdings,부킹홀딩스,Booking Holdings,여행플랫폼
kia,기아,Kia,완성차
air-busan,에어부산,Air Busan,항공사
paris-baguette,파리바게뜨,Paris Baguette,베이커리·디저트
ace-hotel,에이스 호텔,Ace Hotel,호텔·리조트
fujifilm-x,후지필름 X,Fujifilm X Series,음향·카메라
kb-financial-group,KB금융그룹,KB Financial Group,은행
yuhan-kimberly,유한킴벌리,Yuhan-Kimberly,생활위생
expedia,익스피디아,Expedia,여행플랫폼
la-mer,라 메르,La Mer,럭셔리뷰티
royal-canin,로얄캐닌,Royal Canin,반려동물
jeep,지프,Jeep,완성차
infiniti,인피니티,Infiniti,완성차
kenvue,켄뷰,Kenvue,일반의약품·소비자헬스
msc-cruises,MSC 크루즈,MSC Cruises,크루즈·테마파크
theory,띠어리,Theory,컨템포러리
mondelez,몬델리즈,Mondelez International,과자·제과
mars,마스,"Mars, Incorporated",과자·제과
josun-hotels,조선호텔앤리조트,Josun Hotels & Resorts,호텔·리조트
muji,무인양품,MUJI,가구·생활유통
dettol,데톨,Dettol,생활위생
hana-financial-group,하나금융그룹,Hana Financial Group,은행
hollys,할리스,Hollys Coffee,카페체인
evian,에비앙,Evian,음료·탄산
pubg,배틀그라운드,PUBG: Battlegrounds,게임사
beanpole,빈폴,Beanpole,컨템포러리
southwest-airlines,사우스웨스트항공,Southwest Airlines,항공사
geely-holding,지리홀딩그룹,Zhejiang Geely Holding Group,완성차
carlsberg,칼스버그,Carlsberg,주류
walmart,월마트,Walmart,대형마트·창고형
nissan,닛산,Nissan Motor,완성차
disney,디즈니,The Walt Disney Company,영화·애니메이션
nars,나스,NARS Cosmetics,메이크업
the-ordinary,디 오디너리,The Ordinary,스킨케어
barrel,배럴,Barrel,스포츠웨어
samsonite,쌤소나이트,Samsonite,가방·잡화
durex,듀렉스,Durex,생활위생
dolce-gabbana,돌체앤가바나,Dolce & Gabbana,럭셔리하우스
oppo,오포,OPPO,스마트폰·가전
labubu,라부부,Labubu,완구·캐릭터
panasonic,파나소닉,Panasonic,스마트폰·가전
bonjuk,본죽,Bonjuk,배달·프랜차이즈
swarovski,스와로브스키,Swarovski,주얼리
tvn,tvN,tvN,방송·신문
ferrero,페레로,Ferrero,과자·제과
heytea,헤이티,HeyTea,카페체인
otb-group,OTB 그룹,OTB Group,디자이너·스트리트
adobe,어도비,Adobe,소프트웨어·클라우드
hm-group,H&M 그룹,H&M Group,SPA·캐주얼
krispy-kreme,크리스피크림,Krispy Kreme,베이커리·디저트
singapore-airlines,싱가포르항공,Singapore Airlines,항공사
iicombined,아이아이컴바인드,IICOMBINED,안경·아이웨어
kurly,컬리,Kurly,이커머스
mercedes-maybach,마이바흐,Mercedes-Maybach,럭셔리·슈퍼카
paramount,파라마운트,Paramount Skydance,영화·애니메이션
jeju-air,제주항공,Jeju Air,항공사
mixue,미쉐,Mixue,카페체인
uniqlo,유니클로,Uniqlo,SPA·캐주얼
tory-burch,토리버치,Tory Burch,가방·잡화
subaru,스바루,Subaru,완성차
sulbing,설빙,Sulbing,베이커리·디저트
etihad-airways,에티하드항공,Etihad Airways,항공사
naver,네이버,NAVER,검색·포털
paul-bassett,폴바셋,Paul Bassett,카페체인
dongwon-tuna,동원참치,Dongwon Tuna,라면·가공식품
levis,리바이스,Levi's,SPA·캐주얼
chamisul,참이슬,Chamisul,주류
