id,score
ferrero-rocher,4
deutsche-bank,2
facebook,5
rick-owens,3
lg-electronics,5
netflix,5
korean-air,5
mikimoto,2
ram,1
chobani,2
fila-holdings,2
honma,3
lg-hh,4
discord,4
in-n-out,3
wavve,4
didi,1
opel,1
kao,2
locknlock,5
shake-shack,4
abbvie,1
nescafe,5
cheetos,4
burberry,5
tapestry,1
everland,5
ray-ban,5
intercontinental,3
accor,2
supreme,4
samsung-fire,4
tcl,3
mattel,3
oriental-brewery,4
canon,5
shiseido,4
banana-milk,5
line,5
monster-beverage,4
maybelline,4
amer-sports,1
taobao,3
microsoft,5
leica,3
coach,4
festool,1
ncsoft,4
spc-group,3
carnival-cruise,2
sharp,3
shopee,2
mardi-mercredi,3
doritos,4
lenovo,4
kolon-sport,4
takeda,1
lamy,3
woori-financial-group,4
polestar,2
jin-air,4
shell,4
minecraft,5
upbit,4
wrtn,3
bic,4
reebok,4
edf,0
tmap-mobility,4
sonny-angel,3
pop-mart,4
macys,2
pull-and-bear,3
snickers,5
koenigsegg,2
chipotle,2
wingstop,2
klm,3
crocs,5
anua,4
jameson,3
clinique,4
luckin-coffee,1
american-express,4
twitch,4
puig,1
daangn,5
anta-sports,2
eider,3
bmw,5
shift-up,3
clarks,3
barbie,5
pernod-ricard,1
urusa,5
teenage-engineering,1
five-guys,4
covernat,3
sk-broadband,4
prime-video,4
popeyes,4
messika,1
kitkat,5
jw-marriott,3
penguin-random-house,2
deepseek,4
w-concept,3
kiwoom-securities,4
maison-margiela,3
toyota,5
patagonia,4
shinhan-financial-group,5
audi,5
sulwhasoo,5
blancpain,1
moet-chandon,4
ediya,5
genesis,5
hermes,5
bytedance,3
ganni,2
29cm,4
trivago,4
airasia,4
fritz-coffee,3
ottogi,5
perrier,4
bmw-group,4
dexcom,1
jtbc,5
montbell,4
s-oil,4
kweichow-moutai,3
biore,4
hanmi,3
lyft,1
comcast,1
kodansha,2
korea-post,5
mistral-ai,2
charles-schwab,1
jaguar-land-rover,3
kumho-tire,4
dodge,2
gu,2
yanolja,5
sony-pictures,4
diptyque,2
zwilling,3
ecco,4
hancom,4
shangri-la,2
pxg,3
quaker,3
j-lindeberg,2
triumph,2
kenzo,3
skechers,4
mihoyo,3
ferrari,5
bentley,4
asahi,4
starbucks,5
sanrio,5
new-balance,5
chanel,5
sm-entertainment,5
jaeger-lecoultre,1
fila,5
zeekr,1
t-mobile,1
guinness,4
wooyoungmi,2
ohouse,5
calbee,4
hm,5
krafton,4
yg-entertainment,5
air-premia,3
fiji-water,2
fossil,3
bhc,5
imax,4
kakaobank,5
six-flags,1
moderna,5
galderma,1
babolat,2
tsingtao,4
robinhood,2
jbl,4
muuto,1
chagee,2
sony-music,2
ace-bed,5
balmuda,3
oakley,4
steelseries,3
charles-keith,4
aldi,1
chery,1
massimo-dutti,2
specialized,3
lacoste,4
keyang,2
dove,4
kb-kookmin-bank,5
netease,2
riot-games,4
nubank,0
ugg,5
