id,name_ko,name_en,category
chatgpt,챗GPT,ChatGPT,AI
3ce,쓰리씨이,3CE,메이크업
tods,토즈,Tod's,신발
cuckoo,쿠쿠,Cuckoo,스마트폰·가전
starlink,스타링크,Starlink,통신사
gucci,구찌,Gucci,럭셔리하우스
skoda,스코다,Škoda Auto,완성차
chzzk,치지직,CHZZK,콘텐츠스트리밍
pvh,PVH,PVH Corp.,컨템포러리
arena,아레나,Arena,스포츠용품
gap,갭,Gap,SPA·캐주얼
zoom,줌,Zoom Communications,소프트웨어·클라우드
mirae-asset-global-investments,미래에셋자산운용,Mirae Asset Global Investments,자산운용
cursor,커서,Cursor,AI
vivienne-westwood,비비안 웨스트우드,Vivienne Westwood,디자이너·스트리트
cadillac,캐딜락,Cadillac,완성차
pepsi,펩시,Pepsi,음료·탄산
musinsa,무신사,Musinsa,명품·패션플랫폼
maeil-dairies,매일유업,Maeil Dairies,유제품
ichiran,이치란,Ichiran,레스토랑체인
yamazaki,야마자키,Yamazaki,주류
jack-daniels,잭다니엘,Jack Daniel's,주류
lancome,랑콤,Lancôme,럭셔리뷰티
lotte-mart,롯데마트,Lotte Mart,대형마트·창고형
palace,팔라스,Palace Skateboards,디자이너·스트리트
michael-kors,마이클 코어스,Michael Kors,가방·잡화
google,구글,Google,검색·포털
oatly,오틀리,Oatly,유제품
tata-motors,타타모터스,Tata Motors,완성차
hbo-max,HBO 맥스,HBO Max,콘텐츠스트리밍
ulta-beauty,얼타 뷰티,Ulta Beauty,뷰티편집숍
huawei,화웨이,Huawei,스마트폰·가전
sofitel,소피텔,Sofitel,호텔·리조트
harley-davidson,할리데이비슨,Harley-Davidson,이륜차
hormel,호멜,Hormel Foods,육가공·축산
swatch-group,스와치 그룹,The Swatch Group,대중시계
yamaha-motor,야마하발동기,Yamaha Motor,이륜차
daum,다음,Daum,검색·포털
meiji,메이지,Meiji,과자·제과
emart,이마트,Emart,대형마트·창고형
suzuki,스즈키,Suzuki Motor,완성차
daewoong,대웅제약,Daewoong Pharmaceutical,제약
hanwha-life,한화생명,Hanwha Life,보험
kirin,기린,Kirin Holdings,주류
lotteria,롯데리아,Lotteria,패스트푸드
qeelin,키린,Qeelin,주얼리
sungsimdang,성심당,Sungsimdang,베이커리·디저트
marshall,마샬,Marshall,음향·카메라
kfc,KFC,KFC,패스트푸드
moncler,몽클레르,Moncler,럭셔리하우스
dior,디올,Dior,럭셔리하우스
stanley,스탠리,Stanley,주방·생활용품
porsche,포르쉐,Porsche,럭셔리·슈퍼카
chilsung-cider,칠성사이다,Chilsung Cider,음료·탄산
gymshark,짐샤크,Gymshark,스포츠웨어
bing,빙,Microsoft Bing,검색·포털
dior-beauty,디올 뷰티,Dior Beauty,럭셔리뷰티
capcom,캡콤,Capcom,게임사
casamia,까사미아,Casamia,가구·인테리어
chosun-ilbo,조선일보,The Chosun Ilbo,방송·신문
mercedes-benz,메르세데스-벤츠,Mercedes-Benz,완성차
mizuno,미즈노,Mizuno,스포츠용품
spam,스팸,Spam,라면·가공식품
electronic-arts,EA,Electronic Arts,게임사
pearl-abyss,펄어비스,Pearl Abyss,게임사
bugatti,부가티,Bugatti,럭셔리·슈퍼카
agoda,아고다,Agoda,여행플랫폼
msd,MSD,Merck & Co.,제약
samsung-electronics,삼성전자,Samsung Electronics,스마트폰·가전
tudor,튜더,Tudor,하이엔드시계
jeju-samdasoo,제주삼다수,Jeju Samdasoo,음료·탄산
roblox,로블록스,Roblox,게임사
norwegian-cruise-line,노르웨이지안 크루즈 라인,Norwegian Cruise Line,크루즈·테마파크
lotte-card,롯데카드,Lotte Card,카드·결제
mazda,마쓰다,Mazda,완성차
poppi,파피,Poppi,음료·탄산
joongang-ilbo,중앙일보,JoongAng Ilbo,방송·신문
stellantis,스텔란티스,Stellantis,완성차
longines,론진,Longines,하이엔드시계
breitling,브라이틀링,Breitling,하이엔드시계
hyatt,하얏트,Hyatt Hotels,호텔·리조트
hisense,하이센스,Hisense,스마트폰·가전
callaway,캘러웨이,Callaway,골프
haitai,해태제과,Haitai Confectionery,과자·제과
eland-world,이랜드월드,E-Land World,SPA·캐주얼
sk-telecom,SK텔레콤,SK Telecom,통신사
bobbi-brown,바비 브라운,Bobbi Brown,메이크업
tim-hortons,팀홀튼,Tim Hortons,카페체인
jimmy-choo,지미추,Jimmy Choo,신발
van-cleef-arpels,반클리프 아펠,Van Cleef & Arpels,주얼리
inspire-brands,인스파이어브랜즈,Inspire Brands,패스트푸드
ryanair,라이언에어,Ryanair,항공사
celltrion,셀트리온,Celltrion,바이오
acura,어큐라,Acura,완성차
dong-a-pharm,동아제약,Dong-A Pharmaceutical,일반의약품·소비자헬스
fnf,F&F,F&F,SPA·캐주얼
homeplus,홈플러스,Homeplus,대형마트·창고형
harry-winston,해리 윈스턴,Harry Winston,주얼리
marni,마르니,Marni,디자이너·스트리트
nespresso,네스프레소,Nespresso,커피·차
universal-studios,유니버설 스튜디오,Universal Studios,크루즈·테마파크
goodyear,굿이어,Goodyear,타이어
johnnie-walker,조니워커,Johnnie Walker,주류
whatsapp,왓츠앱,WhatsApp,SNS·메신저
cnn,CNN,Cable News Network,방송·신문
kakao,카카오,Kakao,SNS·메신저
jil-sander,질 샌더,Jil Sander,디자이너·스트리트
gs25,GS25,GS25,편의점
mini,미니,MINI,완성차
studio-ghibli,스튜디오 지브리,Studio Ghibli,영화·애니메이션
patek-philippe,파텍필립,Patek Philippe,하이엔드시계
hazzys,헤지스,Hazzys,컨템포러리
princess-cruises,프린세스 크루즈,Princess Cruises,크루즈·테마파크
ajinomoto,아지노모토,Ajinomoto,조미료·소스
volvo-cars,볼보자동차,Volvo Cars,완성차
bayer,바이엘,Bayer,제약
comme-des-garcons,꼼데가르송,Comme des Garçons,디자이너·스트리트
dewalt,디월트,DEWALT,공구
head,헤드,HEAD,스포츠용품
ipark,아이파크,IPARK,건설
jim-beam,짐빔,Jim Beam,주류
sk-bioscience,SK바이오사이언스,SK bioscience,바이오
konami,코나미,Konami,게임사
buccellati,부첼라티,Buccellati,주얼리
air-seoul,에어서울,Air Seoul,항공사
taylormade,테일러메이드,TaylorMade,골프
subway,서브웨이,Subway,패스트푸드
zegna,제냐,Zegna,럭셔리하우스
pilot,파이롯트,Pilot,문구·필기구
ferragamo,페라가모,Ferragamo,럭셔리하우스
nomos-glashutte,노모스,NOMOS Glashütte,하이엔드시계
brown-forman,브라운포맨,Brown-Forman,주류
apr,에이피알,APR,스킨케어
booking-com,부킹닷컴,Booking.com,여행플랫폼
smilegate,스마일게이트,Smilegate,게임사
milwaukee-tool,밀워키,Milwaukee Tool,공구
samyang-foods,삼양식품,Samyang Foods,라면·가공식품
hillstate,힐스테이트,Hillstate,건설
baskin-robbins,배스킨라빈스,Baskin-Robbins,베이커리·디저트
mlb-fnf,MLB,MLB,SPA·캐주얼
panerai,파네라이,Panerai,하이엔드시계
jin-ramen,진라면,Jin Ramen,라면·가공식품
chivas-regal,시바스리갈,Chivas Regal,주류
warner-music-group,워너뮤직,Warner Music Group,엔터테인먼트·음반
playstation,플레이스테이션,PlayStation,게임사
toei-animation,도에이 애니메이션,Toei Animation,영화·애니메이션
ibis,이비스,ibis,호텔·리조트
ana,전일본공수,All Nippon Airways,항공사
starship-entertainment,스타쉽엔터테인먼트,Starship Entertainment,엔터테인먼트·음반
outback,아웃백,Outback Steakhouse,레스토랑체인
the-north-face,노스페이스,The North Face,아웃도어
loewe,로에베,Loewe,럭셔리하우스
electrolux,일렉트로룩스,Electrolux,스마트폰·가전
ktm,KTM,KTM,이륜차
maison-kitsune,메종 키츠네,Maison Kitsuné,디자이너·스트리트
knipex,크니펙스,Knipex,공구
the-economist,이코노미스트,The Economist,방송·신문
hyundai-card,현대카드,Hyundai Card,카드·결제
disney-plus,디즈니플러스,Disney+,콘텐츠스트리밍
marriott,메리어트,Marriott International,호텔·리조트
raffles,래플스,Raffles Hotels & Resorts,호텔·리조트
citizenm,시티즌엠,citizenM,호텔·리조트
olive-young,올리브영,CJ Olive Young,뷰티편집숍
millet,밀레,Millet,아웃도어
finnair,핀에어,Finnair,항공사
makita,마끼다,Makita,공구
bulgari,불가리,Bulgari,주얼리
san-pellegrino,산펠레그리노,S.Pellegrino,음료·탄산
temu,테무,Temu,이커머스
paik-dabang,빽다방,Paik's Coffee,카페체인
the-whoo,후,The History of Whoo,럭셔리뷰티
cgv,CGV,CJ CGV,영화·애니메이션
airbnb,에어비앤비,Airbnb,여행플랫폼
knotted,노티드,Knotted,베이커리·디저트
corsair,커세어,Corsair,PC·주변기기
volvik,볼빅,Volvik,골프
aesop,이솝,Aesop,스킨케어
coupang-play,쿠팡플레이,Coupang Play,콘텐츠스트리밍
renault,르노,Renault,완성차
espn,ESPN,ESPN,방송·신문
nexen-tire,넥센타이어,Nexen Tire,타이어
universal-pictures,유니버설 픽처스,Universal Pictures,영화·애니메이션
ralph-lauren,랄프 로렌,Ralph Lauren,컨템포러리
le-coq-sportif,르꼬끄 스포르티브,Le Coq Sportif,스포츠웨어
herman-miller,허먼밀러,Herman Miller,가구·인테리어
weverse,위버스,Weverse,SNS·메신저
gemini,제미나이,Gemini,AI
vitra,비트라,Vitra,가구·인테리어
target,타깃,Target,대형마트·창고형
astrazeneca,아스트라제네카,AstraZeneca,제약
petfriends,펫프렌즈,Pet Friends,반려동물
mytheresa,마이테레사,Mytheresa,명품·패션플랫폼
dr-jart,닥터자르트,Dr.Jart+,스킨케어
rolls-royce-motor-cars,롤스로이스,Rolls-Royce Motor Cars,럭셔리·슈퍼카
charlotte-tilbury,샬롯 틸버리,Charlotte Tilbury,메이크업
zenith,제니스,Zenith,하이엔드시계
mirae-asset-securities,미래에셋증권,Mirae Asset Securities,증권·투자
myrealtrip,마이리얼트립,MyRealTrip,여행플랫폼
midjourney,미드저니,Midjourney,AI
kewpie,큐피,Kewpie,조미료·소스
rimowa,리모와,Rimowa,가방·잡화
beauty-of-joseon,조선미녀,Beauty of Joseon,스킨케어
klarna,클라나,Klarna,카드·결제
dropbox,드롭박스,Dropbox,소프트웨어·클라우드
costco,코스트코,Costco,대형마트·창고형
saint-laurent,생로랑,Saint Laurent,럭셔리하우스
g-fore,지포어,G/FORE,골프
deutsche-telekom,도이치텔레콤,Deutsche Telekom,통신사
coty,코티,Coty,향수·니치향수
kyobo-life,교보생명,Kyobo Life Insurance,보험
acne-studios,아크네 스튜디오,Acne Studios,디자이너·스트리트
