id,name_ko,name_en,aliases,country,sector,category,brand_type,parent,parent_name,tier,b2b
ace-hotel,에이스 호텔,Ace Hotel,에이스호텔,US,여행·항공·호텔,호텔·리조트,both,,,niche,0
aman,아만,Aman,아만 리조트|Aman Resorts,CH,여행·항공·호텔,호텔·리조트,both,,,major,0
andaz,안다즈,Andaz,,US,여행·항공·호텔,호텔·리조트,product,hyatt,Hyatt Hotels,niche,0
banyan-tree,반얀트리,Banyan Tree,반얀트리 호텔,SG,여행·항공·호텔,호텔·리조트,both,,,major,0
citizenm,시티즌엠,citizenM,,NL,여행·항공·호텔,호텔·리조트,product,marriott,Marriott International,niche,0
club-med,클럽메드,Club Med,클럽 메드,FR,여행·항공·호텔,호텔·리조트,both,fosun-group,Fosun International,major,0
conrad,콘래드,Conrad Hotels & Resorts,콘래드 호텔,US,여행·항공·호텔,호텔·리조트,product,hilton,Hilton,major,0
fairmont,페어몬트,Fairmont Hotels & Resorts,페어몬트 호텔,CA,여행·항공·호텔,호텔·리조트,product,accor,Accor,major,0
four-seasons,포시즌스,Four Seasons Hotels and Resorts,포시즌스 호텔|포시즌,CA,여행·항공·호텔,호텔·리조트,both,,,mega,0
glad-hotels,글래드호텔,GLAD Hotels,글래드|GLAD,KR,여행·항공·호텔,호텔·리조트,both,dl-group,DL Group,niche,0
hanwha-resorts,한화리조트,Hanwha Hotels & Resorts,한화호텔앤드리조트|더플라자,KR,여행·항공·호텔,호텔·리조트,both,hanwha-group,Hanwha Group,major,0
hilton,힐튼,Hilton,힐튼 호텔|Hilton Worldwide,US,여행·항공·호텔,호텔·리조트,both,,,mega,0
holiday-inn,홀리데이 인,Holiday Inn,홀리데이인,US,여행·항공·호텔,호텔·리조트,product,ihg,IHG Hotels & Resorts,major,0
hoshino-resorts,호시노 리조트,Hoshino Resorts,호시노야|星野リゾート,JP,여행·항공·호텔,호텔·리조트,both,,,niche,0
hotel-shilla,신라호텔,The Shilla,호텔신라|더 신라,KR,여행·항공·호텔,호텔·리조트,both,samsung-group,Samsung Group,major,0
hyatt,하얏트,Hyatt Hotels,하얏트 호텔|Hyatt,US,여행·항공·호텔,호텔·리조트,both,,,mega,0
ibis,이비스,ibis,이비스 호텔,FR,여행·항공·호텔,호텔·리조트,product,accor,Accor,major,0
