id,name_ko,name_en,aliases,country,sector,category,brand_type,parent,parent_name,tier,b2b
macbook,맥북,MacBook,맥|Mac,US,전자·IT,PC·주변기기,product,apple,Apple,mega,0
msi,MSI,Micro-Star International,,TW,전자·IT,PC·주변기기,both,,,major,0
raspberry-pi,라즈베리 파이,Raspberry Pi,라즈베리파이,GB,전자·IT,PC·주변기기,both,,,niche,0
razer,레이저,Razer,,SG,전자·IT,PC·주변기기,both,,,major,0
steelseries,스틸시리즈,SteelSeries,,DK,전자·IT,PC·주변기기,both,,,niche,0
wacom,와콤,Wacom,,JP,전자·IT,PC·주변기기,both,,,niche,0
boe,BOE,BOE Technology,징둥팡,CN,전자·IT,디스플레이·부품,corporate,,,major,1
foxconn,폭스콘,Foxconn,훙하이|Hon Hai,TW,전자·IT,디스플레이·부품,corporate,,,mega,1
lg-display,LG디스플레이,LG Display,LGD,KR,전자·IT,디스플레이·부품,corporate,lg-electronics,LG Electronics,major,1
lg-innotek,LG이노텍,LG Innotek,,KR,전자·IT,디스플레이·부품,corporate,lg-electronics,LG Electronics,major,1
murata,무라타,Murata Manufacturing,무라타제작소,JP,전자·IT,디스플레이·부품,corporate,,,major,1
samsung-display,삼성디스플레이,Samsung Display,삼디,KR,전자·IT,디스플레이·부품,corporate,samsung-electronics,Samsung Electronics,major,1
samsung-electro-mechanics,삼성전기,Samsung Electro-Mechanics,SEMCO,KR,전자·IT,디스플레이·부품,corporate,samsung-group,Samsung Group,major,1
amd,AMD,Advanced Micro Devices,라이젠|Ryzen,US,전자·IT,반도체,both,,,mega,1
applied-materials,어플라이드 머티어리얼즈,Applied Materials,AMAT,US,전자·IT,반도체,corporate,,,major,1
arm,Arm,Arm Holdings,ARM|암,GB,전자·IT,반도체,corporate,softbank-group,SoftBank Group,major,1
asml,ASML,ASML,,NL,전자·IT,반도체,corporate,,,mega,1
broadcom,브로드컴,Broadcom,,US,전자·IT,반도체,corporate,,,mega,1
furiosaai,퓨리오사AI,FuriosaAI,퓨리오사,KR,전자·IT,반도체,corporate,,,niche,1
hanmi-semiconductor,한미반도체,Hanmi Semiconductor,,KR,전자·IT,반도체,corporate,,,niche,1
infineon,인피니언,Infineon Technologies,,DE,전자·IT,반도체,corporate,,,major,1
intel,인텔,Intel,,US,전자·IT,반도체,both,,,mega,1
mediatek,미디어텍,MediaTek,,TW,전자·IT,반도체,corporate,,,major,1
micron,마이크론,Micron Technology,,US,전자·IT,반도체,corporate,,,major,1
nvidia,엔비디아,NVIDIA,,US,전자·IT,반도체,both,,,mega,1
qualcomm,퀄컴,Qualcomm,스냅드래곤|Snapdragon,US,전자·IT,반도체,both,,,mega,1
rebellions,리벨리온,Rebellions,,KR,전자·IT,반도체,corporate,,,niche,1
sk-hynix,SK하이닉스,SK hynix,하이닉스,KR,전자·IT,반도체,corporate,sk-group,SK Group,mega,1
texas-instruments,텍사스 인스트루먼트,Texas Instruments,TI,US,전자·IT,반도체,corporate,,,major,1
tokyo-electron,도쿄일렉트론,Tokyo Electron,TEL,JP,전자·IT,반도체,corporate,,,major,1
tsmc,TSMC,Taiwan Semiconductor Manufacturing Company,대만 TSMC,TW,전자·IT,반도체,corporate,,,mega,1
adobe,어도비,Adobe,포토샵|Photoshop,US,전자·IT,소프트웨어·클라우드,both,,,mega,0
atlassian,아틀라시안,Atlassian,지라|Jira,AU,전자·IT,소프트웨어·클라우드,both,,,major,1
autodesk,오토데스크,Autodesk,오토캐드|AutoCAD,US,전자·IT,소프트웨어·클라우드,both,,,major,1
