id,name_ko,name_en,aliases,country,sector,category,brand_type,parent,parent_name,tier,b2b
swire-group,스와이어그룹,Swire Group,스와이어|Swire,GB,기업집단,해외복합기업,corporate,,,niche,1
tata-group,타타그룹,Tata Group,타타|Tata,IN,기업집단,해외복합기업,corporate,,,mega,0
virgin-group,버진그룹,Virgin Group,버진|Virgin,GB,기업집단,해외복합기업,corporate,,,mega,0
adm,ADM,Archer-Daniels-Midland,Archer Daniels Midland,US,농업·식품원료,곡물·원료무역,both,,,mega,1
bunge,번지,Bunge,,US,농업·식품원료,곡물·원료무역,both,,,mega,1
cargill,카길,Cargill,,US,농업·식품원료,곡물·원료무역,both,,,mega,1
cofco,중량그룹,COFCO,중국량유식품,CN,농업·식품원료,곡물·원료무역,both,,,major,1
louis-dreyfus,루이드레퓌스,Louis Dreyfus Company,LDC,NL,농업·식품원료,곡물·원료무역,both,,,major,1
olam,올람,Olam Group,,SG,농업·식품원료,곡물·원료무역,corporate,,,major,1
wilmar,윌마,Wilmar International,Wilmar,SG,농업·식품원료,곡물·원료무역,both,,,major,1
barry-callebaut,배리칼레보,Barry Callebaut,칼리바우트,CH,농업·식품원료,식품원료,both,,,major,1
cj-bio,CJ제일제당 바이오,CJ CheilJedang Bio,CJ바이오,KR,농업·식품원료,식품원료,product,cj-cheiljedang,CJ CheilJedang,major,1
dsm-firmenich,dsm-피르메니히,dsm-firmenich,DSM|Firmenich,CH,농업·식품원료,식품원료,both,,,major,1
givaudan,지보단,Givaudan,,CH,농업·식품원료,식품원료,both,,,major,1
iff,IFF,International Flavors & Fragrances,,US,농업·식품원료,식품원료,both,,,major,1
ingredion,인그리디언,Ingredion,,US,농업·식품원료,식품원료,both,,,niche,1
kerry-group,케리그룹,Kerry Group,,IE,농업·식품원료,식품원료,both,,,major,1
novonesis,노보네시스,Novonesis,Novozymes|Chr. Hansen,DK,농업·식품원료,식품원료,both,,,niche,1
ofi,오에프아이,ofi,olam food ingredients,SG,농업·식품원료,식품원료,both,olam,Olam Group,niche,1
symrise,심라이즈,Symrise,,DE,농업·식품원료,식품원료,both,,,niche,1
tate-lyle,테이트앤라일,Tate & Lyle,,GB,농업·식품원료,식품원료,both,,,niche,1
harim,하림,Harim,,KR,농업·식품원료,육가공·축산,both,,,major,0
hormel,호멜,Hormel Foods,,US,농업·식품원료,육가공·축산,both,,,major,0
jbs,JBS,JBS,,BR,농업·식품원료,육가공·축산,both,,,mega,1
pilgrims-pride,필그림스프라이드,Pilgrim's Pride,,US,농업·식품원료,육가공·축산,both,jbs,JBS,major,1
smithfield,스미스필드,Smithfield Foods,,US,농업·식품원료,육가공·축산,both,wh-group,WH Group,major,0
tyson,타이슨푸드,Tyson Foods,타이슨,US,농업·식품원료,육가공·축산,both,,,mega,0
wh-group,WH그룹,WH Group,萬洲國際,HK,농업·식품원료,육가공·축산,corporate,,,major,1
bayer-crop-science,바이엘 크롭사이언스,Bayer Crop Science,,DE,농업·식품원료,종자·농화학,product,bayer,Bayer,major,1
corteva,코르테바,Corteva Agriscience,Corteva,US,농업·식품원료,종자·농화학,both,,,major,1
farm-hannong,팜한농,Farm Hannong,,KR,농업·식품원료,종자·농화학,both,lg-group,LG Group,niche,1
kws,KWS,KWS Saat,,DE,농업·식품원료,종자·농화학,both,,,niche,1
mosaic,모자이크,The Mosaic Company,Mosaic,US,농업·식품원료,종자·농화학,both,,,niche,1
nongwoo-bio,농우바이오,Nongwoo Bio,,KR,농업·식품원료,종자·농화학,both,,,niche,1
nutrien,뉴트리엔,Nutrien,,CA,농업·식품원료,종자·농화학,both,,,major,1
syngenta,신젠타,Syngenta,Syngenta Group,CH,농업·식품원료,종자·농화학,both,,,major,1
yara,야라,Yara International,Yara,NO,농업·식품원료,종자·농화학,both,,,niche,1
cainiao,차이냐오,Cainiao,차이냐오네트워크,CN,물류,물류,both,alibaba,Alibaba Group,major,1
db-schenker,DB쉥커,DB Schenker,쉥커|Schenker,DE,물류,물류,both,dsv,DSV,major,1
dsv,DSV,DSV,,DK,물류,물류,both,,,major,1
flexport,플렉스포트,Flexport,,US,물류,물류,both,,,niche,1
hyundai-glovis,현대글로비스,Hyundai Glovis,글로비스,KR,물류,물류,both,hyundai-motor-group,Hyundai Motor Group,major,1
kuehne-nagel,퀴네앤드나겔,Kuehne+Nagel,퀴네나겔,CH,물류,물류,both,,,major,1
lx-pantos,LX판토스,LX Pantos,판토스|범한판토스,KR,물류,물류,both,,,niche,1
barogo,바로고,Barogo,,KR,물류,택배·특송,both,,,niche,1
cj-logistics,CJ대한통운,CJ Logistics,대한통운,KR,물류,택배·특송,both,cj-group,CJ Group,major,1
coupang-logistics,쿠팡로지스틱스서비스,Coupang Logistics Services,CLS|쿠팡로지스틱스,KR,물류,택배·특송,both,coupang,Coupang,niche,1
dhl,DHL,DHL Group,디에이치엘|도이치포스트,DE,물류,택배·특송,both,,,mega,1
fedex,페덱스,FedEx,,US,물류,택배·특송,both,,,mega,1
hanjin,한진,Hanjin,한진택배,KR,물류,택배·특송,both,,,major,1
korea-post,우체국,Korea Post,우체국택배|우정사업본부,KR,물류,택배·특송,both,,,major,0
logen,로젠택배,Logen,로젠,KR,물류,택배·특송,both,,,niche,1
lotte-global-logistics,롯데글로벌로지스,Lotte Global Logistics,롯데택배,KR,물류,택배·특송,both,lotte-group,Lotte Group,major,1
sf-express,SF익스프레스,SF Express,순펑|순풍택배,CN,물류,택배·특송,both,,,major,1
ups,UPS,United Parcel Service,유피에스,US,물류,택배·특송,both,,,mega,1
usps,미국우정청,United States Postal Service,USPS,US,물류,택배·특송,both,,,major,0
yamato-transport,야마토운수,Yamato Transport,쿠로네코야마토|야마토,JP,물류,택배·특송,both,,,niche,0
cma-cgm,CMA CGM,CMA CGM,,FR,물류,해운,both,,,major,1
cosco-shipping,코스코,COSCO Shipping,COSCO|중국원양해운,CN,물류,해운,both,,,major,1
evergreen-marine,에버그린,Evergreen Marine,에버그린해운,TW,물류,해운,both,,,niche,1
hapag-lloyd,하팍로이드,Hapag-Lloyd,,DE,물류,해운,both,,,major,1
hmm,HMM,HMM,현대상선,KR,물류,해운,both,,,major,1
maersk,머스크,A.P. Moller-Maersk,머스크라인|Maersk,DK,물류,해운,both,,,mega,1
msc,MSC,Mediterranean Shipping Company,엠에스씨,CH,물류,해운,both,,,major,1
pan-ocean,팬오션,Pan Ocean,범양상선|STX팬오션,KR,물류,해운,both,,,niche,1
clarins,클라랑스,Clarins,,FR,뷰티·퍼스널케어,럭셔리뷰티,both,,,major,0
dior-beauty,디올 뷰티,Dior Beauty,Parfums Christian Dior|크리스찬 디올 뷰티,FR,뷰티·퍼스널케어,럭셔리뷰티,product,lvmh,LVMH Moët Hennessy Louis Vuitton,mega,0
estee-lauder,에스티 로더,The Estée Lauder Companies,에스티로더|Estee Lauder|ELC,US,뷰티·퍼스널케어,럭셔리뷰티,both,,,mega,0
guerlain,겔랑,Guerlain,,FR,뷰티·퍼스널케어,럭셔리뷰티,product,lvmh,LVMH Moët Hennessy Louis Vuitton,major,0
la-mer,라 메르,La Mer,Crème de la Mer|라메르,US,뷰티·퍼스널케어,럭셔리뷰티,product,estee-lauder,The Estée Lauder Companies,major,0
la-prairie,라프레리,La Prairie,,CH,뷰티·퍼스널케어,럭셔리뷰티,product,beiersdorf,Beiersdorf,niche,0
lancome,랑콤,Lancôme,Lancome,FR,뷰티·퍼스널케어,럭셔리뷰티,product,loreal,L'Oréal,mega,0
sk-ii,SK-II,SK-II,에스케이투|피테라,JP,뷰티·퍼스널케어,럭셔리뷰티,product,pg,Procter & Gamble,major,0
